epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.0367,1.35751,2.50062,1.23062,0.03821,0.99191,0.94432,0.50472,0.99971,2.55923,0.86337,0.00326087,0.00326087,0.00326087
2,74.5079,1.03235,1.2895,0.97008,0.98179,0.95942,0.9898,0.74932,0.8576,1.63404,0.85312,0.00657244,0.00657244,0.00657244
3,103.471,1.03541,1.0608,0.99374,0.89804,0.86935,0.94935,0.58494,1.11419,1.18407,0.95498,0.00986201,0.00986201,0.00986201
4,133.029,1.04275,0.89724,1.00509,0.8725,0.89806,0.96153,0.67609,0.99275,1.51087,0.98222,0.009901,0.009901,0.009901
5,161.949,0.97578,0.75307,0.98923,0.9578,0.97735,0.9867,0.73601,0.93127,0.78812,0.88806,0.009868,0.009868,0.009868
6,191.349,0.91009,0.66799,0.96678,0.96522,0.9878,0.99254,0.73128,0.84976,1.21317,0.85513,0.009835,0.009835,0.009835
7,219.416,0.88498,0.63915,0.96222,0.97239,0.9822,0.99284,0.69866,0.97453,0.68367,0.89536,0.009802,0.009802,0.009802
8,249.628,0.85256,0.61019,0.9523,0.97712,0.99676,0.99389,0.76762,0.82052,0.63113,0.8412,0.009769,0.009769,0.009769
9,276.27,0.84011,0.58209,0.94688,0.96648,0.99029,0.98816,0.66055,1.04453,0.64356,0.90327,0.009736,0.009736,0.009736
10,306.319,0.8131,0.55949,0.94193,0.81438,0.96602,0.94369,0.73583,0.70518,0.68706,0.80566,0.009703,0.009703,0.009703
11,334.709,0.79426,0.54276,0.93501,0.99353,0.99353,0.99451,0.78481,0.77931,0.51807,0.83936,0.00967,0.00967,0.00967
12,364.18,0.78521,0.54691,0.93287,0.98486,0.99838,0.9918,0.78987,0.78266,0.51101,0.83183,0.009637,0.009637,0.009637
13,394.79,0.7709,0.52417,0.92994,0.99514,0.99363,0.99498,0.81701,0.64117,0.4729,0.81113,0.009604,0.009604,0.009604
14,424.958,0.75395,0.51942,0.92894,0.99966,0.99838,0.995,0.83948,0.65296,0.42629,0.82634,0.009571,0.009571,0.009571
15,451.448,0.75402,0.49987,0.92709,1,0.99764,0.995,0.83913,0.62316,0.4336,0.80172,0.009538,0.009538,0.009538
16,481.746,0.73165,0.49559,0.91922,0.99841,0.99838,0.995,0.78823,0.77098,0.46407,0.826,0.009505,0.009505,0.009505
17,510.928,0.72709,0.48801,0.9202,0.99838,0.99498,0.99498,0.82082,0.66281,0.41286,0.80279,0.009472,0.009472,0.009472
18,540.296,0.72595,0.48174,0.91997,0.99465,0.99838,0.99482,0.823,0.63366,0.43636,0.82103,0.009439,0.009439,0.009439
19,568.13,0.71939,0.48557,0.91912,0.99814,0.99838,0.99498,0.85395,0.57745,0.37996,0.7854,0.009406,0.009406,0.009406
20,597.218,0.71595,0.48277,0.91916,0.99838,0.99754,0.995,0.84735,0.61058,0.39488,0.79916,0.009373,0.009373,0.009373
21,628.533,0.71439,0.47062,0.92046,0.99828,0.99676,0.995,0.84004,0.63824,0.42335,0.80712,0.00934,0.00934,0.00934
22,654.987,0.69614,0.46367,0.91293,0.99102,0.99191,0.99489,0.82987,0.65746,0.40594,0.81484,0.009307,0.009307,0.009307
23,684.218,0.68238,0.45524,0.90848,1,0.99985,0.995,0.87667,0.52617,0.36465,0.7865,0.009274,0.009274,0.009274
24,712.349,0.69072,0.45496,0.9119,0.99942,1,0.995,0.84435,0.63618,0.37967,0.80966,0.009241,0.009241,0.009241
25,742.134,0.67605,0.45621,0.90363,0.99719,1,0.995,0.85277,0.59242,0.37292,0.78774,0.009208,0.009208,0.009208
26,772.584,0.6811,0.44436,0.90559,0.99357,0.99989,0.99498,0.86087,0.57894,0.36789,0.80598,0.009175,0.009175,0.009175
27,799.541,0.66546,0.44076,0.90185,0.99838,0.99983,0.995,0.854,0.54997,0.3626,0.8061,0.009142,0.009142,0.009142
28,829.531,0.67947,0.44002,0.91203,0.99744,0.99353,0.995,0.81771,0.67259,0.39279,0.81122,0.009109,0.009109,0.009109
29,859.833,0.67234,0.43961,0.90889,0.99588,0.99515,0.99497,0.88107,0.53765,0.35065,0.78855,0.009076,0.009076,0.009076
30,886.855,0.6693,0.43521,0.90484,0.99836,0.99676,0.995,0.8242,0.65018,0.39232,0.81074,0.009043,0.009043,0.009043
31,916.637,0.66838,0.43252,0.90556,0.99987,1,0.995,0.87449,0.52446,0.33709,0.7837,0.00901,0.00901,0.00901
